id,title,category,resultTitle,resultText,log,statsJson,note
act_4u_drink,おすすめドリンク,drink,一杯、頼んでみた,"カウンターにグラスが置かれた。
少しだけ肩の力が抜けて、隣の人とも話しやすくなった気がする。",語り場4Uでおすすめドリンクを頼んだ,"{""drink"":1,""talk"":1}",
act_4u_food,ちょっとしたおつまみ,food,おつまみをつまんだ,"軽く食べながら話していると、会話の間が自然になっていく。
こういう何でもない時間が、4Uらしいのかもしれない。",語り場4Uでおつまみをつまんだ,"{""food"":1,""talk"":1}",
act_4u_karaoke,カラオケする,karaoke,一曲、歌ってみた,"完璧じゃなくても、誰かが聴いてくれる。
拍手が起きて、店内の空気が少しあたたかくなった。",語り場4Uでカラオケをした,"{""karaoke"":1,""talk"":1}",
act_4u_talk,その場の会話に混ざる,talk,会話に混ざった,"誰かの何気ない一言から、思ったより深い話になっていく。
語り場という名前の意味が、少しだけ分かった気がする。",語り場4Uでその場の会話に混ざった,"{""talk"":2}",
act_kusanone_drink,ドリンクを頼む,drink,ドリンクを片手に眺めた,ステージのある空間で飲む一杯は、少しだけイベント前のような気分にしてくれる。,くさのね劇場でドリンクを頼んだ,"{""drink"":1}",
act_kusanone_food,フードを頼む,food,食事を楽しんだ,"テーブルにフードが並ぶと、自然と人が集まりやすくなる。
食べることも、場づくりの一部なのかもしれない。",くさのね劇場でフードを楽しんだ,"{""food"":1,""talk"":1}",
act_kusanone_karaoke,カラオケする,karaoke,ステージで歌ってみた,"マイクを持つと、少しだけ背筋が伸びる。
歌い終わるころには、さっきより空間が近く感じられた。",くさのね劇場でカラオケをした,"{""karaoke"":1}",
act_kusanone_stage,ステージを眺める,event,ステージを眺めた,"まだ何も始まっていないステージにも、何かが起こりそうな気配がある。
いつかここで誰かの表現が生まれるのかもしれない。",くさのね劇場でステージを眺めた,"{""event"":1}",
act_branch_coffee,コーヒーを頼む,drink,コーヒーでひと息,"湯気の向こうで、街の音が少し遠くなる。
急がなくてもいい時間が、ここにはある。",ブランチカフェでコーヒーを頼んだ,"{""drink"":1,""relax"":1}",
act_branch_lightmeal,軽食を頼む,food,軽食を楽しんだ,"軽く食べながら、次にどこへ行こうか考える。
街歩きの途中に、ちょうどいい休憩になった。",ブランチカフェで軽食を楽しんだ,"{""food"":1,""relax"":1}",
act_branch_lunch,ランチする,food,ランチを楽しんだ,昼の光の中で食べる時間は、夜の語り場とはまた違う穏やかさがある。,ブランチカフェでランチを楽しんだ,"{""food"":2,""relax"":1}",
act_branch_relax,ゆっくり話せる席に座る,relax,席でゆっくりした,"少し座っているだけで、言葉がゆっくり整っていく。
ここでは、急がない会話が似合う。",ブランチカフェでゆっくり過ごした,"{""relax"":2,""talk"":1}",
