id,speaker,label,text,visibleDays,visibleWhenJson,textByDayJson,optionsJson,note
talk_4u_inside_01,4U店内の人,4U店内の人,いらっしゃい。ここは語り場4U。初めての人も、ふらっと来た人も、ゆるく話せる場所だよ。,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_4u_inside_talk""},{""label"":""金曜のにぎわいを聞く"",""type"":""dialogue"",""targetId"":""talk_4u_friday_mood"",""className"":""achievement"",""visibleDays"":[""fri""]},{""label"":""少し深い話をする"",""type"":""dialogue"",""targetId"":""talk_4u_deep_talk"",""className"":""link"",""visibleWhen"":{""type"":""statAtLeast"",""stat"":""talk"",""value"":3}},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_4u""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_4u""}]",
talk_4u_inside_talk,4U店内の人,4U店内の人,今日はどんな一日だった？ここでは、うまく話そうとしなくても大丈夫。ちょっとした一言から会話が始まるからね。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_4u_outside_01,4U前の人,4U前の人,ここが語り場4U。初めてでも入りやすいけど、中に入るとだいたい誰かが話しかけてくれるよ。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_kusanone_inside_01,くさのね店内の人,くさのね店内の人,ようこそ、くさのね劇場へ。ここは食べたり飲んだりしながら、歌やイベントも楽しめる空間だよ。,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_kusanone_inside_talk""},{""label"":""ステージの余韻について聞く"",""type"":""dialogue"",""targetId"":""talk_kusanone_stage_after_karaoke"",""className"":""link"",""visibleWhen"":{""type"":""statAtLeast"",""stat"":""karaoke"",""value"":1}},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_kusanone""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_kusanone""}]",
talk_kusanone_inside_talk,くさのね店内の人,くさのね店内の人,ステージがあると、ただの食事の場じゃなくて、少しだけ非日常になるんだよね。今日は何か表現したくなる日かも。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_kusanone_outside_01,くさのね前の人,くさのね前の人,くさのね劇場は、食事やお酒だけじゃなくて、歌やイベントの空気も楽しめる場所だよ。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_branch_inside_01,ブランチカフェ店内の人,ブランチカフェ店内の人,いらっしゃいませ。ここは少し落ち着いて、ゆっくり過ごせるカフェです。ひと息ついていきますか？,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_branch_inside_talk""},{""label"":""日曜のカフェ時間について聞く"",""type"":""dialogue"",""targetId"":""talk_branch_sunday"",""className"":""achievement"",""visibleDays"":[""sun""]},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_branch""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_branch""}]",
talk_branch_inside_talk,ブランチカフェ店内の人,ブランチカフェ店内の人,朝や昼の時間に人と話すと、夜とはまた違った言葉が出てくる気がします。今日はどんな気分ですか？,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_branch_outside_01,ブランチカフェ前の人,ブランチカフェ前の人,ブランチカフェは、少し落ち着いて話したいときにちょうどいい場所。まずはメニューだけ見てみるのもいいかも。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_town_01,街の人A,街の人A,このあたりは、いろんな人の活動がゆるく重なってるんだ。お店に入ると、その人たちの空気も少し見えてくるよ。,all,,,"[{""label"":""立ち去る"",""type"":""close""}]",
talk_town_02,街の人B,街の人B,掲示板を見ると、今どんなイベントやお知らせがあるか分かるよ。迷ったらまず掲示板だね。,all,,,"[{""label"":""立ち去る"",""type"":""close""}]",
