id,speaker,text
talk_4u_inside_01,4U店内の人,いらっしゃい。ここは語り場4U。初めての人も、ふらっと来た人も、ゆるく話せる場所だよ。
talk_4u_inside_talk,4U店内の人,今日はどんな一日だった？ここでは、うまく話そうとしなくても大丈夫。ちょっとした一言から会話が始まるからね。
talk_4u_outside_01,4U前の人,ここが語り場4U。初めてでも入りやすいけど、中に入るとだいたい誰かが話しかけてくれるよ。
talk_kusanone_inside_01,くさのね店内の人,ようこそ、くさのね劇場へ。ここは食べたり飲んだりしながら、歌やイベントも楽しめる空間だよ。
talk_kusanone_inside_talk,くさのね店内の人,ステージがあると、ただの食事の場じゃなくて、少しだけ非日常になるんだよね。今日は何か表現したくなる日かも。
talk_kusanone_outside_01,くさのね前の人,くさのね劇場は、食事やお酒だけじゃなくて、歌やイベントの空気も楽しめる場所だよ。
talk_branch_inside_01,ブランチカフェ店内の人,いらっしゃいませ。ここは少し落ち着いて、ゆっくり過ごせるカフェです。ひと息ついていきますか？
talk_branch_inside_talk,ブランチカフェ店内の人,朝や昼の時間に人と話すと、夜とはまた違った言葉が出てくる気がします。今日はどんな気分ですか？
talk_branch_outside_01,ブランチカフェ前の人,ブランチカフェは、少し落ち着いて話したいときにちょうどいい場所。まずはメニューだけ見てみるのもいいかも。
talk_town_01,街の人A,このあたりは、いろんな人の活動がゆるく重なってるんだ。お店に入ると、その人たちの空気も少し見えてくるよ。
talk_town_02,街の人B,掲示板を見ると、今どんなイベントやお知らせがあるか分かるよ。迷ったらまず掲示板だね。
talk_town_03,街の人C,曜日によって、街の空気も少し変わるらしいよ。今はまだ準備中だけど、そのうち隠れた出会いも増えるかも。
sign_to_kusanone,看板,"↓ くさのね劇場へ
このまま下へ進むと、くさのね劇場付近へ移動します。"
sign_to_branch,看板,"→ ブランチカフェへ
このまま右へ進むと、ブランチカフェ付近へ移動します。"
sign_to_4u_from_kusanone,看板,"↑ 語り場4Uへ
このまま上へ進むと、語り場4U付近へ戻ります。"
sign_to_4u_from_branch,看板,"← 語り場4Uへ
このまま左へ進むと、語り場4U付近へ戻ります。"
talk_town_01_fri,街の人A,金曜の夜は、少しだけ街がにぎやかになるね。4Uにも、ふらっと誰かが集まってくるかも。
talk_town_01_sat,街の人A,土曜はイベントの気配がある日。掲示板を見ておくと、何か見つかるかもしれないよ。
talk_town_02_sat,街の人B,今日はどこかで歌や表現が生まれそうな空気だね。くさのね劇場の方も覗いてみる？
talk_town_02_sun,街の人B,日曜は、少しだけ静かに振り返る日。店を回ると、違う言葉が聞こえるかもしれないね。
talk_town_03_sun,街の人C,日曜だけ見えるものってある気がする。まだ仮だけど、いつか隠しキャラも出せそうだね。
talk_4u_inside_fri,4U店内の人,金曜の4Uは、いつもより少しにぎやか。誰かの一言から、気づいたら深い話になってることもあるよ。
talk_4u_inside_sat,4U店内の人,土曜はイベント前後の話が生まれやすい日。歌う人、話す人、ふらっと来る人、それぞれの温度が混ざる感じがあるね。
talk_4u_inside_sun,4U店内の人,日曜は少し静かめ。昨日までの出来事を思い返しながら、ゆっくり言葉にしていく時間もいいね。
talk_4u_outside_fri,4U前の人,金曜は、ここから夜が始まる感じがするね。中に入る前に、街の掲示板も見ておくと良いかも。
talk_kusanone_inside_sat,くさのね店内の人,土曜のくさのねは、どこかイベント前みたいな空気。ステージがあるだけで、今日は何か起きそうって思えるよね。
talk_branch_inside_sun,ブランチカフェ店内の人,日曜のカフェは、少しゆっくり時間が流れる感じがします。予定を詰めすぎず、ぼーっとするのも良いですよ。
talk_branch_outside_sun,ブランチカフェ前の人,日曜は、カフェの前を通る人も少し穏やか。語り場の夜とは違う、昼のつながり方もありそうだね。
event_4u_friday_lively,金曜のにぎわい,店の前に、少しだけにぎやかな空気が漂っている。今日は誰かがふらっと現れそうな予感がする。
event_kusanone_saturday_stage,土曜のイベント気配,劇場の周りに、イベント前のようなそわそわした空気がある。ここから何か表現が始まりそうだ。
event_branch_sunday_cafe,日曜のカフェ時間,日曜の光がカフェの前に落ちている。少し立ち止まって、今日の予定をゆっくり考えたくなる。
event_4u_sat_karaoke,カラオケの気配,誰かが歌った後のような空気が残っている。v001では演出だけだけど、今後は「歌う」「聴く」「拍手する」選択肢にできそう。
event_kusanone_fri_rehearsal,リハーサルの気配,ステージ付近に、準備中のような空気がある。金曜の夜は、週末の表現に向けて少しずつ熱が上がっていく。
event_branch_sun_window,窓際席,窓際に柔らかい光が入っている。日曜だけは、ここで少し長めに休みたくなる。
